,Tokens,Tags
0,Archana,B-per
1,Suresh,I-per
2,Python,B-skill
3,Developer,B-skill
4,CONTACT,O
5,Ernakulam,O
6,9852634120,B-phone
7,archana,B-email
8,@,I-email
9,gmail.com,I-email
10,LinkedIn,O
11,Github,O
12,EDUCATION,O
13,MCA,B-edu
14,BCA,B-edu
15,Plus,B-edu
16,Two,I-edu
17,SSLC,B-edu
18,SKILLS,O
19,Python,B-skill
20,",",O
21,Numpy,B-skill
22,Git,B-skill
23,Django,B-skill
24,HTML,B-skill
25,",",O
26,PHP,B-skill
27,",",O
28,JS,B-skill
29,",",O
30,Jquery,B-skill
31,C,B-skill
32,R,B-skill
33,C++,B-skill
34,CAREER,O
35,OBJECTIVE,O
36,Looking,O
37,for,O
38,a,O
39,challenging,O
40,role,O
41,in,O
42,a,O
43,reputable,O
44,organization,O
45,to,O
46,utilize,O
47,my,O
48,technical,O
49,",",O
50,database,O
51,",",O
52,and,O
53,management,O
54,skills,O
55,for,O
56,the,O
57,growth,O
58,of,O
59,the,O
60,organization,O
61,as,O
62,well,O
63,as,O
64,to,O
65,enhance,O
66,my,O
67,knowledge,O
68,about,O
69,new,O
70,and,O
71,emerging,O
72,trends,O
73,in,O
74,the,O
75,IT,O
76,sector,O
77,.,O
78,WORK,O
79,EXPERIENCE,O
80,:,O
81,Company,O
82,Name,O
83,:,O
84,Techworld,O
85,.,O
86,Location,O
87,:,O
88,Trivandrum,O
89,",",O
90,Kerala,O
91,.,O
92,Designation,O
93,:,O
94,Python,O
95,Developer,O
96,Experience,O
97,:,O
98,11/10/2017,B-exp
99,–,I-exp
100,11/10/2020,I-exp
101,Duties,O
102,and,O
103,Responsibilities,O
104,,O
105,Collecting,O
106,data,O
107,through,O
108,means,O
109,such,O
110,as,O
111,analyzing,O
112,business,O
113,results,O
114,or,O
115,by,O
116,setting,O
117,up,O
118,and,O
119,managing,O
120,new,O
121,studies,O
122,.,O
123,,O
124,Prepares,O
125,reporting,O
126,systems,O
127,that,O
128,are,O
129,required,O
130,by,O
131,current,O
132,operations,O
133,",",O
134,maintenance,O
135,and,O
136,technical,O
137,services,O
138,departments,O
139,.,O
140,,O
141,Conducts,O
142,technical,O
143,support,O
144,and,O
145,establishes,O
146,process,O
147,improvement,O
148,systems,O
149,for,O
150,the,O
151,purpose,O
152,of,O
153,fortifying,O
154,current,O
155,engineering,O
156,standards,O
157,and,O
158,processes,O
159,.,O
160,CERTIFICATIONS,O
161,:,O
162,,O
163,Computer,O
164,Programming,O
165,Languages,O
166,;,O
167,-,O
168,Web,B-skill
169,Programming,I-skill
170,",",O
171,Online,O
172,PERSONAL,O
173,INFORMATION,O
174,Status,O
175,:,O
176,Single,O
177,DOB,O
178,:,O
179,19-10-1995,B-DOB
180,Hobbies,O
181,:,O
182,",",O
183,Reading,O
184,",",O
185,Craft,O
