,Tokens,Tags
0,KARLA,B-per
1,LEWIS,I-per
2,Data,O
3,Scientist,O
4,CONTACT,O
5,Brooklyn,O
6,",",O
7,NY,O
8,(,B-phone
9,123,I-phone
10,),I-phone
11,456-7890,I-phone
12,karla,B-email
13,@,I-email
14,beamjobs.com,I-email
15,LinkedIn,O
16,Github,O
17,EDUCATION,O
18,B.S,B-edu
19,Statistics,B-edu
20,Rutgers,O
21,University,O
22,New,O
23,Brunswick,O
24,",",O
25,NJ,O
26,September,O
27,2011,O
28,-,O
29,April,O
30,2015,O
31,SKILLS,O
32,Python,B-skill
33,(,O
34,NumPy,B-skill
35,",",O
36,Keras,B-skill
37,",",O
38,Flask,B-skill
39,),O
40,MySQL,B-skill
41,Git,B-skill
42,Django,B-skill
43,seaborn,B-skill
44,tensorflow,B-skill
45,docker,B-skill
46,AWS,B-skill
47,Flask,B-skill
48,Java,B-skill
49,Pandas,B-skill
50,R,B-skill
51,C++,B-skill
52,pydub,B-skill
53,CAREER,O
54,OBJECTIVE,O
55,Applied,O
56,Mathematics,O
57,graduate,O
58,with,O
59,certifications,O
60,in,O
61,Data,O
62,Science,O
63,",",O
64,Machine,O
65,Learning,O
66,and,O
67,programming,O
68,languages,O
69,SQL,O
70,",",O
71,Python,O
72,and,O
73,Microsoft,O
74,.,O
75,Excellent,O
76,in,O
77,business,O
78,analytics,O
79,",",O
80,development,O
81,of,O
82,modeling,O
83,techniques,O
84,and,O
85,operational,O
86,improvement,O
87,processes,O
88,",",O
89,I,O
90,am,O
91,confident,O
92,my,O
93,experience,O
94,and,O
95,expertise,O
96,will,O
97,be,O
98,a,O
99,perfect,O
100,fit,O
101,for,O
102,your,O
103,company,O
104,.,O
105,WORK,O
106,EXPERIENCE,O
107,:,O
108,11/10/2015,B-exp
109,–,I-exp
110,11/10/2020,I-exp
111,Company,O
112,Name,O
113,:,O
114,Techversant,O
115,Infotech,O
116,.,O
117,Location,O
118,:,O
119,Trivandrum,O
120,",",O
121,Kerala,O
122,.,O
123,Designation,O
124,:,O
125,Data,O
126,Scientist,O
127,Duties,O
128,and,O
129,Responsibilities,O
130,,O
131,Collates,O
132,data,O
133,sources,O
134,and,O
135,builds,O
136,databases,O
137,which,O
138,can,O
139,be,O
140,accessed,O
141,by,O
142,end-,O
143,users,O
144,according,O
145,to,O
146,their,O
147,intent,O
148,.,O
149,,O
150,Develops,O
151,systems,O
152,that,O
153,are,O
154,designed,O
155,to,O
156,improve,O
157,workflow,O
158,information,O
159,through,O
160,the,O
161,different,O
162,departments,O
163,.,O
164,,O
165,Prepares,O
166,reporting,O
167,systems,O
168,that,O
169,are,O
170,required,O
171,by,O
172,current,O
173,operations,O
174,",",O
175,maintenance,O
176,and,O
177,technical,O
178,services,O
179,departments,O
180,.,O
181,,O
182,Conducts,O
183,technical,O
184,support,O
185,and,O
186,establishes,O
187,process,O
188,improvement,O
189,systems,O
190,for,O
191,the,O
192,purpose,O
193,of,O
194,fortifying,O
195,current,O
196,engineering,O
197,standards,O
198,and,O
199,processes,O
200,.,O
201,,O
202,Designs,O
203,visualization,O
204,tools,O
205,for,O
206,the,O
207,purpose,O
208,of,O
209,supporting,O
210,operations,O
211,",",O
212,maintenance,O
213,and,O
214,technical,O
215,services,O
216,departments,O
217,in,O
218,their,O
219,daily,O
220,management,O
221,of,O
222,key,O
223,functions,O
224,.,O
225,CERTIFICATIONS,O
226,:,O
227,,O
228,Data,O
229,Science,O
230,;,O
231,Johns,O
232,Hopkins,O
233,–,O
234,Online,O
235,",",O
236,2016,O
237,,O
238,Machine,O
239,Learning,O
240,;,O
241,Stanford,O
242,University,O
243,–,O
244,Online,O
245,",",O
246,2016,O
247,,O
248,Computer,O
249,Programming,O
250,Languages,O
251,;,O
252,Commdap-,O
253,SQL,O
254,",",O
255,Python,O
256,",",O
257,Microsoft,O
258,",",O
259,Online,O
260,",",O
261,2016,O
262,PERSONAL,O
263,INFORMATION,O
264,Status,O
265,:,O
266,Single,O
267,DOB,O
268,:,O
269,31-03-1986,B-DOB
270,Hobbies,O
271,:,O
272,cooking,O
273,",",O
274,tennis,O
275,",",O
276,squash,O
